"referenceno","commissiontype","commissionamt","max"
"801269032",D,40.53,2025-02-01 00:00:00.000
"801308548",D,3972.29,2025-02-01 00:00:00.000
"801391520",D,25.21,2025-02-01 00:00:00.000
"801393442",D,290.58,2025-02-01 00:00:00.000
"801396070",D,168.41,2025-02-01 00:00:00.000
"801401164",D,245.59,2025-02-01 00:00:00.000
"801406494",D,36.57,2025-02-01 00:00:00.000
"801420362",D,8.34,2025-02-01 00:00:00.000
"801420449",D,12.16,2025-02-01 00:00:00.000
"801420733",D,14.53,2025-02-01 00:00:00.000
"801427028",D,51.24,2025-02-01 00:00:00.000
"801430765",D,19.57,2025-02-01 00:00:00.000
"801432388",D,16.23,2025-02-01 00:00:00.000
"801432829",D,15.4,2025-02-01 00:00:00.000
"801432962",D,19.04,2025-02-01 00:00:00.000
"801435702",D,1.37,2025-02-01 00:00:00.000
"801435742",D,18.18,2025-02-01 00:00:00.000
"801437324",D,13.31,2025-02-01 00:00:00.000
"801437369",D,7.28,2025-02-01 00:00:00.000
"801439956",D,7.39,2025-02-01 00:00:00.000
"801441262",D,9.12,2025-02-01 00:00:00.000
"801442133",D,17.14,2025-02-01 00:00:00.000
"801442592",D,6.04,2025-02-01 00:00:00.000
"801443117",D,13.05,2025-02-01 00:00:00.000
"801446407",D,12.1,2025-02-01 00:00:00.000
"801446419",D,4.58,2025-02-01 00:00:00.000
"801446584",D,8.41,2025-02-01 00:00:00.000
"801447767",D,18.07,2025-02-01 00:00:00.000
"801448763",D,4.21,2025-02-01 00:00:00.000
"801449512",D,10.83,2025-02-01 00:00:00.000
"801452488",D,15.2,2025-02-01 00:00:00.000
"801452836",D,26.12,2025-02-01 00:00:00.000
"801453715",D,2.93,2025-02-01 00:00:00.000
"801453854",D,0.52,2025-02-01 00:00:00.000
"801455787",D,12.28,2025-02-01 00:00:00.000
"801455849",D,5.61,2025-02-01 00:00:00.000
"801456904",D,13.71,2025-02-01 00:00:00.000
"801458771",D,7.49,2025-02-01 00:00:00.000
"801459322",D,9.88,2025-02-01 00:00:00.000
"801460344",D,20.97,2025-02-01 00:00:00.000
"801460650",D,12.43,2025-02-01 00:00:00.000
"801460726",D,2.64,2025-02-01 00:00:00.000
"801462379",D,6.89,2025-02-01 00:00:00.000
"801464238",D,23.95,2025-02-01 00:00:00.000
"801464658",D,6.19,2025-02-01 00:00:00.000
"801465452",D,7.83,2025-02-01 00:00:00.000
"801466087",D,6.23,2025-02-01 00:00:00.000
"801466514",D,15.04,2025-02-01 00:00:00.000
"801467242",D,4.21,2025-02-01 00:00:00.000
"801470183",D,7.22,2025-02-01 00:00:00.000
"801475285",D,14.76,2025-02-01 00:00:00.000
"801477030",D,16.4,2025-02-01 00:00:00.000
"801477848",D,2.7,2025-02-01 00:00:00.000
"801478310",D,5.79,2025-02-01 00:00:00.000
"801478478",D,6.79,2025-02-01 00:00:00.000
"801480465",D,7.29,2025-02-01 00:00:00.000
"801481464",D,3,2025-02-01 00:00:00.000
"801485610",D,7.23,2025-02-01 00:00:00.000
"801486677",D,11.67,2025-02-01 00:00:00.000
"801491053",D,40.91,2025-02-01 00:00:00.000
"801495219",D,19.27,2025-02-01 00:00:00.000
"801496070",D,19.01,2025-02-01 00:00:00.000
"801499814",D,7.08,2025-02-01 00:00:00.000
"801502405",D,6.6,2025-02-01 00:00:00.000
"801503535",D,13.64,2025-02-01 00:00:00.000
"801503859",D,11.19,2025-02-01 00:00:00.000
"801507213",D,9,2025-02-01 00:00:00.000
